model_nm|matrix_nm|params|scores
KMeans|pos_m_X_train_one_million|{'max_iter': 200, 'tol': 9e-05}|"{""mean_test_accuracy"": 0.5008629333393843, ""mean_test_precision_weighted"": 0.5008587208067872, ""mean_test_recall_weighted"": 0.5008629333393843, ""mean_test_adjusted_rand_score"": 0.00013030479466241116, ""mean_test_adjusted_mutual_info_score"": 2.067808541237424e-06}"
KMeans|pos_m_X_train_one_million|{'max_iter': 200, 'tol': 0.0001}|"{""mean_test_accuracy"": 0.500712920260693, ""mean_test_precision_weighted"": 0.5021420755496827, ""mean_test_recall_weighted"": 0.500712920260693, ""mean_test_adjusted_rand_score"": 0.00013318126452215796, ""mean_test_adjusted_mutual_info_score"": 1.908810772899634e-06}"
KMeans|pos_m_X_train_one_million|{'max_iter': 200, 'tol': 0.00011}|"{""mean_test_accuracy"": 0.5008629333516313, ""mean_test_precision_weighted"": 0.5008586426935571, ""mean_test_recall_weighted"": 0.5008629333516313, ""mean_test_adjusted_rand_score"": 0.00013311664119383554, ""mean_test_adjusted_mutual_info_score"": 2.168680081118106e-06}"
KMeans|pos_m_X_train_one_million|{'max_iter': 300, 'tol': 9e-05}|"{""mean_test_accuracy"": 0.5008629333393843, ""mean_test_precision_weighted"": 0.5008587208067872, ""mean_test_recall_weighted"": 0.5008629333393843, ""mean_test_adjusted_rand_score"": 0.00013030479466241116, ""mean_test_adjusted_mutual_info_score"": 2.067808541237424e-06}"
KMeans|pos_m_X_train_one_million|{'max_iter': 300, 'tol': 0.0001}|"{""mean_test_accuracy"": 0.500712920260693, ""mean_test_precision_weighted"": 0.5021420755496827, ""mean_test_recall_weighted"": 0.500712920260693, ""mean_test_adjusted_rand_score"": 0.00013318126452215796, ""mean_test_adjusted_mutual_info_score"": 1.908810772899634e-06}"
KMeans|pos_m_X_train_one_million|{'max_iter': 300, 'tol': 0.00011}|"{""mean_test_accuracy"": 0.5008629333516313, ""mean_test_precision_weighted"": 0.5008586426935571, ""mean_test_recall_weighted"": 0.5008629333516313, ""mean_test_adjusted_rand_score"": 0.00013311664119383554, ""mean_test_adjusted_mutual_info_score"": 2.168680081118106e-06}"
KMeans|pos_m_X_train_one_million|{'max_iter': 400, 'tol': 9e-05}|"{""mean_test_accuracy"": 0.5008629333393843, ""mean_test_precision_weighted"": 0.5008587208067872, ""mean_test_recall_weighted"": 0.5008629333393843, ""mean_test_adjusted_rand_score"": 0.00013030479466241116, ""mean_test_adjusted_mutual_info_score"": 2.067808541237424e-06}"
KMeans|pos_m_X_train_one_million|{'max_iter': 400, 'tol': 0.0001}|"{""mean_test_accuracy"": 0.500712920260693, ""mean_test_precision_weighted"": 0.5021420755496827, ""mean_test_recall_weighted"": 0.500712920260693, ""mean_test_adjusted_rand_score"": 0.00013318126452215796, ""mean_test_adjusted_mutual_info_score"": 1.908810772899634e-06}"
KMeans|pos_m_X_train_one_million|{'max_iter': 400, 'tol': 0.00011}|"{""mean_test_accuracy"": 0.5008629333516313, ""mean_test_precision_weighted"": 0.5008586426935571, ""mean_test_recall_weighted"": 0.5008629333516313, ""mean_test_adjusted_rand_score"": 0.00013311664119383554, ""mean_test_adjusted_mutual_info_score"": 2.168680081118106e-06}"
KMeans|cnt_m_X_train_one_million|{'max_iter': 200, 'tol': 9e-05}|"{""mean_test_accuracy"": 0.5022644861279503, ""mean_test_precision_weighted"": 0.5211042282030292, ""mean_test_recall_weighted"": 0.5022644861279503, ""mean_test_adjusted_rand_score"": 0.0053373652480330986, ""mean_test_adjusted_mutual_info_score"": 0.00022860432973164564}"
